Name	Set	ImageFile	Rarity	Type	Attack	Defense	Movement	Charm	Energy	Skills	Requirements	Uses	Categories	Instructions
Washu's Lab	Set_Zero	card552,green	Uncommon	Location							Genius x2 & Computer & Tech or Blind Luck & Investigation		Dimensional	
7 Lucky Gods Martial Artists	Set_Zero	card553,purple	Rare	Major Disaster	4*	4*	3							Must defeat 3 times.* After each defeat, add +1 to Attack and Defense.Take 1 Item from each Location they land on.
Big Bug	Set_Zero	card558,purple	Rare	Major Disaster	5	4	3							Attacks affect ALL Characters at Location.
Brian J. Mason	Set_Zero	card559,purple	Uncommon	Major Disaster									Science	Play off field. Combat Disasters draw 2 Combat cards. Discard if Largo is in play.
DD J1 Battlemover	Set_Zero	card560,purple	Rare	Major Disaster	6	6	3							If below 3 Health 2 Combat rounds, D.D. J1 detonates 3rd round, destroying everything at Location.
Deva, The Bugrom Queen	Set_Zero	card561,purple	Common	Major Disaster										Play off Field. All Bugrom +2 Attack, Defense & Movement. All other Disasters +1. Duration: 3 of your turns
Dobermans	Set_Zero	card562,purple	Common	Major Disaster	5	8	3							Seek & Destroy Boomer. Extremely nasty. Moves any direction directly for nearest Character. Discard 1 vehicle to defeat.
Everyone's After Me	Set_Zero	card566,purple	Common	Major Disaster			4							All Disasters immediately move to this Location.
F.G. Frederick	Set_Zero	card567,purple	Uncommon	Major Disaster	4	4	1							Disguised Boomer. Stats +1 each turn. Blocks ALL Locations he lands on until defeated (turn cards over).
Galaxy Destroyer	Set_Zero	card569,purple	Rare	Major Disaster	5	5	4							Every 4th Location Galaxy Destroyer lands on is removed from game. Discard everything at Location.
GD-42 Crab Mech	Set_Zero	card571,purple	Common	Major Disaster	6	5	3							Will not attack Vision.
Happosai	Set_Zero	card574,purple	Common	Major Disaster	6	8	3	5						Only initiates Attacks on females. Discard clothing Items or Equipment to defeat.
Jinnai's Strike Squad	Set_Zero	card575,purple	Uncommon	Major Disaster	3	3	2							Attack & Defense increase 1 with each movement.
Kagato	Set_Zero	card576,purple	Common	Major Disaster	6	8	3	5						Destroys 1 Item each Location he lands on until defeated.
Kirin	Set_Zero	card579,purple	Common	Major Disaster	6	5	3	5						Unaffected by Combat cards. Charm combat effects are normal.
Largo	Set_Zero	card580,purple	Common	Major Disaster	7	7	3							Satellite strike every 3rd movement destroys everything at Location except Largo.
Miss Hinako	Set_Zero	card583,purple	Common	Major Disaster										1 Character is unable to perform any actions for 2 turns. Steals 1 Item (prefers 5 yen coin). Will Attack Ranma first, if in play.
Natsumi and Karume	Set_Zero	card585,purple	Common	Major Disaster	6	6	4							No access to any Havens or any Cooking Location. Discard any 1 piece of food to defeat.
Principal Kuno	Set_Zero	card590,purple	Common	Major Disaster										All Teachers and Students not in a Haven must report to this Location for 2 turns.
Quincy	Set_Zero	card591,purple	Common	Major Disaster										Play off field. All boomers +2 Attack and Defense. All other Disasters +1. Duration: 4 of your turns.
Satellite Strike	Set_Zero	card598,purple	Common	Major Disaster			4						Planetary	Destroys all non-Characters, Bonks all Characters at Location. Planetary or Computer x 4 to defeat.
Space Pirate Attack	Set_Zero	card599,purple	Uncommon	Major Disaster	6	6	5							Discard all Equipment and non-Planetary Vehicles in play.
The Demoness Ifurita	Set_Zero	card603,purple	Common	Major Disaster	5*	8	3							After 1 Combat round, Ifurita's attack equals that of all Characters Attacking her combined.
The Mass	Set_Zero	card604,purple	Common	Major Disaster										Duplicates most recent Disaster until defeated. Repeats twice for 2nd & 3rd most recent Disasters consecutively.
Toma	Set_Zero	card605,purple	Uncommon	Major Disaster	5	5	3	3						2 x Damage every other Combat round. Cancels 1 Boost per Combat (re-shuffle to Draw Pile).
33-S Sexaroid	Set_Zero	card609,purple	Rare	Minor Disaster	3	3	3	7						Male Characters with charm < 7 can not Attack the 33-S.
55-C Bodyguard Boomer	Set_Zero	card610,purple	Common	Minor Disaster	3	+4	5							Defense equals number of Characters at Location plus above bonus.
Akane's Cooking	Set_Zero	card612,purple	Rare	Minor Disaster										All Characters are overwhelmed and unable to do ANYTHING for 2 turns. Cooking x 2 reduces to 1 turn.
Akane's Rage	Set_Zero	card613,purple	Rare	Minor Disaster	3	2	2							Attacks nearest male Character. If Akane is in play, use her current stats, including all bonuses.
Angry Schoolgirls	Set_Zero	card614,purple	Rare	Minor Disaster	3	6	5							Pursue and attack nearest male Character. Take 1 Item if victorious.
Auntie Saotome	Set_Zero	card617,purple	Rare	Minor Disaster										Transformation Card. Play off field. All transforming Characters in play change form. Duration: 6 turns. Genma and Ranma remain in panda & girl form until effect is reversed by another transformation card.
Baby	Set_Zero	card618,purple	Common	Minor Disaster										Attacks nearest Character(s). They are EXHAUSTED and unable to do ANYTHING 2 turns.
BU-12B Cyberdroid	Set_Zero	card621,purple	Common	Minor Disaster	5	5	3							Rampages 3 turns, attacking anything it meets 1 round, then fleeing. On 4th movement, it destroys itself, Items & Equipment at Location.
Bugrom Bridge Bashers	Set_Zero	card622,purple	Common	Minor Disaster			3							Moves Once You must have Flying, Flying vehicle, Jump or a bridge to cross Location.
Bugrom Horde	Set_Zero	card623,purple	Common	Minor Disaster	+2	+3	+3							Attack and Defense equal number of Characters at Location plus above bonuses.
Bugrom, Type 1	Set_Zero	card624,purple	Rare	Minor Disaster	3	3	3							
Captured!	Set_Zero	card626,purple	Common	Minor Disaster										Your most powerful Character unable to move from Location until rescued by Character(s) with Computer, Genius and Survival, or a Rescue card.
Class C Boomer	Set_Zero	card628,purple	Common	Minor Disaster	4	4	3							
Class C Female Boomer	Set_Zero	card629,purple	Uncommon	Minor Disaster	4	5	3							Steals 1 Equipment and runs. If not caught and defeated before it exits the Field, Equipment is discarded.
Cloud Monster	Set_Zero	card630,purple	Uncommon	Minor Disaster	4	6	3							Cloud Monster ignores 1 Attack per round of Combat.
Dai-Kokusei and Dai-Hakusei	Set_Zero	card631,purple	Uncommon	Minor Disaster	4	4	4							Character or Group must have a Defense of > 10 to defeat. Add +2 for each Martial Arts skill.
Dimensional Vortex	Set_Zero	card635,purple	Rare	Minor Disaster			4						Dimensional	If on a Location with Characters, activates and sends all Characters & Items at Loc. to nearest Dimensional Loc. If no Dimensional Loc.s in play, Characters & Items sent to farthest possible Loc.
Disguise Revealed	Set_Zero	card637,purple	Uncommon	Minor Disaster										Discard all disguises.
Forceful Impact	Set_Zero	card646,purple	Common	Minor Disaster			5							Move all Characters 1 Location to the right.
Have a Nice Trip	Set_Zero	card654,purple	Common	Minor Disaster										Reshuffle nearest combat suit back into your draw pile.
Hungry Cabbit	Set_Zero	card657,purple	Common	Minor Disaster										Eats 1 piece of nearest Character's Equipment.
Juraian Guardians	Set_Zero	card662,purple	Uncommon	Minor Disaster	4	3	3							Bonked Characters are jailed until Rescued or Guardians are defeated. Items carried by jailed characters are discarded.
Kiriya, The Phantom Assassin	Set_Zero	card663,purple	Uncommon	Minor Disaster	5	5	3							Shadow Nation Discard 1 card from your hand for every Character Bonked or Killed by Kiriya.
Kodachi Kuno (The Black Rose)	Set_Zero	card665,purple	Common	Minor Disaster	3	3	3	7						Moves immediately to Location of nearest Combat Disaster and allies with that Disaster.
Lab Explosion	Set_Zero	card666,purple	Common	Minor Disaster										Discard all Science cards in play and 1 random card from your hand.
Lady Tokimi	Set_Zero	card667,purple	Common	Minor Disaster										Play off Field. Tokimi prevents any type of Dimensional travel. Washu is unaffected. Stays in play 6 Turns.
Locked Gate	Set_Zero	card668,purple	Common	Minor Disaster			2							Moves once Must have Keys, Phase or Attack >6 to cross or attempt Location.
Najato (Phantom Prince)	Set_Zero	card675,purple	Uncommon	Minor Disaster	2	1	3	1						Shadow Nation Steals 1 Item and runs. Diverts Attacks to nearest opposing Character. Nanami, Genius, or Blind Luck cancels this ability.
Old Woman	Set_Zero	card679,purple	Common	Minor Disaster										Transformation card. All transforming Characters in play change form. All others are -1 Attack and Defense next combat.
Priss and the Replicants	Set_Zero	card683,purple	Uncommon	Minor Disaster										Character(s) caught in crowd. No movement 1 turn unless Priss or Priss Live Concert Poster is present.
Red Tape	Set_Zero	card687,purple	Rare	Minor Disaster										All players shuffle their hands back into Draw piles and re-draw an equal number of cards.
Restricted Area	Set_Zero	card688,purple	Common	Minor Disaster			4							Moves once Must have Investigation to Scavenge Location. Duration: 4 turns.
Shuttle Crash	Set_Zero	card698,purple	Common	Minor Disaster										Destroys nearest flying vehicle.
Soja Guardians	Set_Zero	card699,purple	Common	Minor Disaster	4	4	3							Attack all Characters they encounter.
Tatewaki Kuno	Set_Zero	card705,purple	Uncommon	Minor Disaster	4	3	3	5						Attacks nearest female Character first then males. Removes defeated opponent from play for 3 of your Turns.
The Mass Humanoid Form	Set_Zero	card706,purple	Rare	Minor Disaster	5	6	3							Moves any direction to nearest character. Automatically Defeated if Ryo-Ohki is Bonked (Ryo-Ohki may bonk herself).
Toma's Guards	Set_Zero	card708,purple	Common	Minor Disaster	6	6	4						Horde	Defend against multiple Attacks as if each Attack was being made individually.
Towed Vehicle	Set_Zero	card709,purple	Uncommon	Minor Disaster										Discard nearest non-flying vehicle.
Training Ground of Cursed Springs	Set_Zero	card710,purple	Common	Minor Disaster										Player's most powerful Character transforms to animal form with stats of Attack 1, Defense 1, Move 2. Must have transformation card to change forms. Stays on Character until end of game.
Traffic Ticket	Set_Zero	card711,purple	Rare	Minor Disaster										Lowers Motion of all Characters at Location, to 1 for 3 turns.
Trapped Door	Set_Zero	card712,purple	Uncommon	Minor Disaster										All Characters at Location teleported 4 Locations to the right.
Yamato No Orochi	Set_Zero	card718,purple	Uncommon	Minor Disaster	4	6	1							Attacks females before males. If defeated, keep and use to access Spring of Life Location.
Assault / Shining Knight	Set_Zero	card720,red	Common	Combat	+2									Adds +2 to your Attack
Bash / Broken Heart	Set_Zero	card724,red	Uncommon	Combat	+1									Adds +1 to your Attack
Charge / Scandal	Set_Zero	card731,red	Common	Combat	+3									Add +3 to your Defense
Club / Stunning Smile	Set_Zero	card733,red	Uncommon	Combat	+2									Adds +2 to your Attack
Deception / Tied Up	Set_Zero	card736,red	Common	Combat	-2									-2 to opponents Attack, Draw another Combat card for this round
Dodge / Puppy Dog Eyes	Set_Zero	card739,red	Common	Combat		+1								Adds +1 to your Defense
Face Slam / Beautiful Queen	Set_Zero	card742,red	Common	Combat	-2									Subtract 2 from your Attack
Gas Attack / Incomparable Beauty	Set_Zero	card747,red	Uncommon	Combat		0								Opponent has no action this round
Hammer / Lover's Kiss	Set_Zero	card751,red	Common	Combat		-1								Instantly remove opponents combat card. Reduce Defense by -1
Kick / Awfully Cute	Set_Zero	card757,red	Common	Combat	+1									Adds +1 to your Attack
Knee Slam / Special Gift	Set_Zero	card758,red	Common	Combat		-2								Reduce your Defense by -2
Panic / Enchanted View	Set_Zero	card764,red	Common	Combat		-3								Reduce Defense by -3
Paralyse / Captivate	Set_Zero	card765,red	Common	Combat	-3									Reduce your opponents Attack by -3
Parry / Handsome Lad	Set_Zero	card766,red	Common	Combat		+2								Parry adds +2 To Defense
Punch / Lovely Hair	Set_Zero	card769,red	Common	Combat	+2									Adds +2 to Attack
Shaken Up / Singing Sensation	Set_Zero	card772,red	Common	Combat		+2								Adds +2 to your Defense
Slam / Great Service	Set_Zero	card774,red	Uncommon	Combat		-1								Subtract -1 from your Defense
Slap / Beautiful Redhead	Set_Zero	card775,red	Common	Combat	+1									Adds +1 to your Attack
Smash / Stupefaction	Set_Zero	card776,red	Common	Combat	x2									Multiply your Attack by x2
Stomp / Cool Dude	Set_Zero	card779,red	Common	Combat	+3									Add +3 to Attack. Effects entire group.
